"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"16406";"Moulins-sur-Tardoire";"770";"164";"147";"79";"T02_20";6;"062 - Angoulême";"0.24"
"16408";"Villebois-Lavalette";"717";"151";"138";"142";"T02_20";6;"062 - Angoulême";"-0.73"
"16409";"Villefagnan";"982";"196";"215";"194";"T01_20";5;"386 - Ruffec";"-0.25"
"16412";"Villejoubert";"338";"85";"63";"30";"T02_20";6;"062 - Angoulême";"0.05"
"16413";"Villiers-le-Roux";"136";"30";"41";"16";"T01_20";6;"386 - Ruffec";"-0.12"
"16414";"Villognon";"312";"44";"53";"54";"T00_30";6;"N/A - hors champ";"-1.94"
"16415";"Vindelle";"1099";"252";"210";"82";"T02_20";6;"062 - Angoulême";"1.27"
"16416";"Vitrac-Saint-Vincent";"506";"99";"128";"51";"T00_30";7;"N/A - hors champ";"-0.42"
"16418";"Vœuil-et-Giget";"1547";"304";"351";"158";"T02_20";4;"062 - Angoulême";"-0.03"
"16419";"Vouharte";"328";"55";"87";"63";"T02_20";6;"062 - Angoulême";"0"
"16420";"Voulgézac";"242";"40";"45";"36";"T02_20";7;"062 - Angoulême";"-1.31"
"16421";"Vouthon";"411";"88";"109";"36";"T02_20";6;"062 - Angoulême";"-0.6"
"16422";"Vouzan";"811";"220";"152";"44";"T02_20";6;"062 - Angoulême";"1.31"
"16423";"Xambes";"254";"47";"62";"35";"T02_20";6;"062 - Angoulême";"-3"
"16424";"Yviers";"525";"104";"119";"60";"T00_30";6;"N/A - hors champ";"0.55"
"16425";"Yvrac-et-Malleyrand";"557";"131";"112";"56";"T00_30";7;"N/A - hors champ";"1.06"
"17002";"Agudelle";"133";"31";"39";"14";"T01_20";7;"354 - Jonzac";"0.25"
"17003";"Aigrefeuille-d'Aunis";"4143";"962";"839";"437";"T03_20";5;"051 - La Rochelle";"1.75"
"17004";"Île-d'Aix";"207";"24";"60";"52";"T00_30";6;"N/A - hors champ";"-2.77"
"17005";"Allas-Bocage";"196";"35";"36";"25";"T01_20";6;"354 - Jonzac";"-1.91"
"17006";"Allas-Champagne";"252";"60";"42";"25";"T01_20";7;"354 - Jonzac";"-1.8"
"17007";"Anais";"313";"80";"55";"16";"T03_20";6;"051 - La Rochelle";"-0.68"
"17008";"Andilly";"2272";"597";"432";"120";"T03_20";5;"051 - La Rochelle";"1.47"
"17009";"Angliers";"1147";"368";"105";"25";"T03_20";5;"051 - La Rochelle";"4.36"
"17010";"Angoulins";"4050";"769";"1024";"523";"T03_20";4;"051 - La Rochelle";"1.09"
"17011";"Annepont";"394";"94";"89";"23";"T02_20";6;"120 - Saintes";"1.61"
"17012";"Annezay";"155";"34";"17";"25";"T02_20";7;"140 - Rochefort";"-1.81"
"17013";"Antezant-la-Chapelle";"340";"57";"69";"54";"T01_20";6;"315 - Saint-Jean-d'Angély";"-1.09"
"17015";"Arces";"760";"168";"140";"64";"T02_20";6;"131 - Royan";"1.14"
"17016";"Archiac";"782";"153";"166";"140";"T00_30";6;"N/A - hors champ";"0.06"
"17017";"Archingeay";"670";"150";"135";"55";"T00_30";6;"N/A - hors champ";"-0.58"
"17018";"Ardillières";"855";"252";"118";"41";"T03_20";5;"051 - La Rochelle";"0.62"
"17019";"Ars-en-Ré";"1302";"193";"312";"264";"T00_30";5;"N/A - hors champ";"0.28"
"17020";"Arthenac";"349";"93";"58";"40";"T00_30";7;"N/A - hors champ";"0.54"
"17021";"Arvert";"3566";"615";"870";"530";"T01_10";3;"464 - La Tremblade";"1.15"
"17022";"Asnières-la-Giraud";"1006";"214";"213";"97";"T01_20";6;"315 - Saint-Jean-d'Angély";"0.64"
"17023";"Aujac";"373";"84";"60";"42";"T00_30";6;"N/A - hors champ";"1.46"
"17024";"Aulnay";"1333";"219";"352";"240";"T00_30";5;"N/A - hors champ";"-0.99"
"17025";"Aumagne";"704";"143";"182";"81";"T01_20";6;"315 - Saint-Jean-d'Angély";"-0.07"
"17026";"Authon-Ébéon";"385";"79";"92";"45";"T00_30";7;"N/A - hors champ";"-0.43"
"17027";"Avy";"471";"70";"102";"53";"T01_20";6;"575 - Pons";"0.25"
"17028";"Aytré";"9247";"1653";"1792";"1163";"T03_10";1;"051 - La Rochelle";"0.75"
"17029";"Bagnizeau";"209";"50";"35";"33";"T00_30";6;"N/A - hors champ";"1.42"
"17030";"Balanzac";"545";"130";"91";"47";"T02_20";6;"120 - Saintes";"0.15"
"17031";"Ballans";"195";"43";"40";"21";"T00_30";6;"N/A - hors champ";"-2.14"
"17032";"Ballon";"804";"218";"131";"40";"T03_20";6;"051 - La Rochelle";"0.61"
"17033";"La Barde";"496";"122";"94";"59";"T00_30";6;"N/A - hors champ";"1.01"
"17034";"Barzan";"463";"59";"128";"110";"T02_20";6;"131 - Royan";"-0.21"
"17035";"Bazauges";"112";"7";"38";"30";"T00_30";6;"N/A - hors champ";"-3.06"
"17036";"Beaugeay";"780";"231";"126";"38";"T02_20";6;"140 - Rochefort";"0.59"
"17037";"Beauvais-sur-Matha";"650";"143";"157";"79";"T00_30";6;"N/A - hors champ";"-0.15"
"17038";"Bedenac";"692";"132";"122";"71";"T45_20";6;"006 - Bordeaux";"0.27"
"17039";"Belluire";"211";"51";"43";"14";"T01_20";7;"575 - Pons";"-0.39"
"17041";"Benon";"1679";"536";"159";"109";"T03_20";5;"051 - La Rochelle";"2.28"
"17042";"Bercloux";"443";"109";"75";"39";"T02_20";7;"120 - Saintes";"-0.33"
"17043";"Bernay-Saint-Martin";"746";"161";"144";"125";"T00_30";6;"N/A - hors champ";"-0.99"
"17044";"Berneuil";"1149";"285";"214";"63";"T02_20";6;"120 - Saintes";"0.22"
"17045";"Beurlay";"1030";"264";"222";"78";"T02_20";6;"140 - Rochefort";"0.39"
"17046";"Bignay";"387";"79";"91";"28";"T01_20";6;"315 - Saint-Jean-d'Angély";"-1.93"
"17047";"Biron";"237";"49";"53";"22";"T01_20";6;"575 - Pons";"1.02"
"17048";"Blanzac-lès-Matha";"321";"58";"76";"52";"T00_30";6;"N/A - hors champ";"-1"
"17049";"Blanzay-sur-Boutonne";"79";"13";"23";"13";"T01_20";7;"315 - Saint-Jean-d'Angély";"-1.78"
"17050";"Bois";"517";"141";"97";"46";"T00_30";7;"N/A - hors champ";"-0.81"
"17051";"Le Bois-Plage-en-Ré";"2272";"343";"676";"377";"T01_10";3;"513 - La Flotte";"-0.56"
"17052";"Boisredon";"693";"127";"156";"91";"T00_30";7;"N/A - hors champ";"-0.63"
"17053";"Bords";"1322";"306";"250";"142";"T02_20";5;"140 - Rochefort";"0.01"
"17054";"Boresse-et-Martron";"204";"36";"47";"39";"T00_30";7;"N/A - hors champ";"-0.32"
"17055";"Boscamnant";"361";"40";"79";"149";"T00_30";7;"N/A - hors champ";"-1.86"
"17056";"Bougneau";"600";"152";"113";"44";"T02_20";6;"120 - Saintes";"0.06"
"17057";"Bouhet";"916";"267";"109";"35";"T03_20";5;"051 - La Rochelle";"1.29"
"17058";"Bourcefranc-le-Chapus";"3506";"631";"854";"556";"T01_20";5;"439 - Marennes-Hiers-Brouage";"0.47"
"17059";"Bourgneuf";"1375";"349";"318";"68";"T03_20";3;"051 - La Rochelle";"3.98"
"17060";"Boutenac-Touvent";"228";"46";"56";"30";"T00_30";6;"N/A - hors champ";"0.91"
"17061";"Bran";"137";"22";"39";"26";"T00_30";7;"N/A - hors champ";"1.54"
"17062";"Bresdon";"216";"29";"64";"40";"T00_30";7;"N/A - hors champ";"-2.47"
"17063";"Breuil-la-Réorte";"453";"123";"96";"40";"T01_20";6;"369 - Surgères";"-0.89"
"17064";"Breuillet";"3010";"476";"939";"482";"T02_20";5;"131 - Royan";"1.87"
"17065";"Breuil-Magné";"1777";"433";"340";"154";"T02_20";5;"140 - Rochefort";"1.02"
"17066";"Brie-sous-Archiac";"235";"45";"54";"34";"T00_30";6;"N/A - hors champ";"-1.22"
"17067";"Brie-sous-Matha";"173";"29";"43";"24";"T00_30";6;"N/A - hors champ";"-1.72"
"17068";"Brie-sous-Mortagne";"243";"39";"74";"36";"T00_30";6;"N/A - hors champ";"0.85"
"17069";"Brives-sur-Charente";"232";"67";"33";"21";"T02_20";6;"152 - Cognac";"-1.43"
"17070";"Brizambourg";"934";"212";"198";"101";"T02_20";6;"120 - Saintes";"1.46"
"17071";"La Brousse";"511";"115";"107";"74";"T00_30";6;"N/A - hors champ";"-0.19"
"17072";"Burie";"1303";"293";"255";"157";"T02_20";6;"152 - Cognac";"0.48"
"17073";"Bussac-sur-Charente";"1277";"253";"312";"145";"T02_20";5;"120 - Saintes";"-0.47"
"17074";"Bussac-Forêt";"1053";"265";"196";"69";"T45_20";6;"006 - Bordeaux";"0.85"
"17075";"Cabariot";"1386";"307";"279";"157";"T02_20";6;"140 - Rochefort";"0.79"
"17076";"Celles";"321";"83";"69";"29";"T02_20";6;"152 - Cognac";"-0.46"
"17077";"Cercoux";"1235";"292";"247";"149";"T00_30";7;"N/A - hors champ";"0.37"
